,,Batanes,Bohol,Catanduanes,Marinduque,Tawi-Tawi
1980,WES250,747.7724000000001,59.8227,207.1001,108.3761,36.9759
1980,Vestas_V25_200kW,588.7118999999998,45.8591,161.05019999999993,83.23710000000001,27.5839
1980,VesV20,304.6,17.811,80.90200000000002,39.536,10.214
1980,En18,281.59341,29.739909999999995,87.68969,49.05332,18.90476
1980,JI20kW,35.1355,0.76,5.9295,2.2255000000000003,0.581
1990,WES250,742.5885,73.65650000000001,197.3535,100.3089,54.144200000000005
1990,Vestas_V25_200kW,585.0482999999999,56.74460000000001,152.87659999999997,77.2994,40.83579999999999
1990,VesV20,303.62,22.040000000000003,75.203,35.074000000000005,16.196
1990,En18,277.53715000000005,36.05761999999999,83.82789,44.85692999999999,27.289369999999998
1990,JI20kW,35.061499999999995,1.214,5.830499999999999,2.2575,0.9265000000000001
2000,WES250,748.3731,51.207800000000006,205.4023,129.65679999999998,42.8899
2000,Vestas_V25_200kW,588.9247999999999,38.717600000000004,159.39410000000004,99.97149999999998,31.7847
2000,VesV20,302.81,15.280000000000001,79.38199999999998,48.682,13.19
2000,En18,280.33491000000004,24.5768,85.89398000000001,56.04645,20.7348
2000,JI20kW,35.0915,0.7635000000000002,6.194,3.194,0.8295
2010,WES250,670.1601,37.275200000000005,127.38,81.36989999999999,28.633699999999997
2010,Vestas_V25_200kW,527.3856000000001,28.0587,97.90679999999999,62.3352,20.8472
2010,VesV20,271.68600000000004,8.784,46.687999999999995,29.369999999999997,7.415
2010,En18,253.72972000000001,19.524820000000002,57.05883000000001,36.82748,14.600940000000001
2010,JI20kW,30.605999999999998,0.3295,3.0984999999999996,1.623,0.41750000000000004
2020,WES250,776.3222,44.34479999999999,184.1952,125.8933,45.5401
2020,Vestas_V25_200kW,612.5076000000001,33.5536,143.12630000000001,96.82039999999999,34.1574
2020,VesV20,315.604,11.667,70.77599999999998,47.307,13.572
2020,En18,287.99408,22.59203,77.63654999999999,53.581559999999996,22.833239999999996
2020,JI20kW,36.746,0.47950000000000004,5.6175,3.268500000000001,0.804
