,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
North Cotabato,7,3549,4017,955,185,44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Samar,2,187,680,1006,1255,1375,1120,907,817,555,415,221,111,55,35,4,1,2,1,1,2,0,1,1,2
Nueva Ecija,8,1086,2835,2414,1318,600,285,138,49,11,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0
Nueva Vizcaya,5,2117,3994,1861,529,154,50,34,10,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Occidental Mindoro,1,278,1085,1385,1421,1401,1356,847,478,235,124,65,38,24,4,2,2,1,2,2,3,2,1,3,0
Oriental Mindoro,0,384,1274,1670,1702,1667,1089,518,239,131,51,17,2,1,1,2,2,1,2,1,3,1,2,0,0
Palawan,0,154,973,1259,1151,1301,1260,1055,780,411,248,114,20,18,5,1,5,5,0,0,0,0,0,0,0
Pampanga,9,975,2521,2261,1320,755,438,215,118,70,49,14,9,6,0,0,0,0,0,0,0,0,0,0,0
Pangasinan,0,584,2234,2533,1648,770,377,216,134,84,92,52,27,2,3,2,2,0,0,0,0,0,0,0,0
Quezon,0,275,1095,1622,1452,1210,895,778,551,448,255,106,46,9,5,6,5,2,0,0,0,0,0,0,0
Quirino,8,2048,3355,2019,828,326,95,38,25,8,5,1,1,2,1,0,0,0,0,0,0,0,0,0,0
Rizal,5,737,1733,1631,1462,1030,840,583,340,222,102,44,12,8,7,4,0,0,0,0,0,0,0,0,0
Romblon,0,223,615,920,1158,1278,1239,1083,783,581,420,264,111,56,7,3,4,1,2,1,2,1,1,1,0
Samar,0,277,888,1062,1423,1528,1175,937,636,418,219,105,51,23,3,2,2,0,2,1,0,1,1,2,1
Sarangani,2,1652,3769,2106,778,299,117,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siquijor,21,825,1513,1325,1279,1348,1097,717,415,162,34,11,7,5,1,0,0,0,0,0,0,0,0,0,0
Sorsogon,4,236,693,1057,1367,1517,1326,951,594,506,237,112,71,29,36,12,1,1,2,0,3,1,2,2,0
South Cotabato,12,3307,3925,1046,361,89,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern Leyte,4,439,1096,1466,1685,1624,1081,657,373,177,89,45,12,3,0,1,1,2,0,3,1,1,0,0,0
Sultan Kudarat,7,3047,3954,1225,386,104,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulu,2,650,1833,1783,1546,1182,799,546,298,91,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Surigao del Norte,0,254,875,1322,1674,1709,1157,737,517,268,118,60,37,22,2,1,1,2,1,1,2,0,0,0,0
Surigao del Sur,2,1430,3356,2523,1057,247,101,38,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarlac,3,940,2862,2464,1363,613,244,108,61,55,25,11,8,1,2,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,0,239,1365,2055,2045,1450,839,513,216,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambales,2,533,1938,2307,1749,934,481,315,170,95,92,54,41,27,14,4,1,3,0,0,0,0,0,0,0
Zamboanga del Norte,0,744,1876,1807,1467,1242,794,438,253,94,34,6,5,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga del Sur,0,1282,2951,1927,1156,735,409,206,83,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Sibugay,4,1318,2520,1870,1233,846,533,263,115,48,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
