,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Batanes,0,49,227,338,681,832,881,893,835,912,742,686,588,383,355,179,83,39,9,14,6,2,6,1,1,3,1,2,3,1,5,1,1,0,1
Bohol,6,890,1760,1677,1887,1357,757,234,136,40,3,4,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,8,305,873,1499,1629,1262,997,756,576,441,186,147,44,17,8,2,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,5,875,1927,1681,1263,939,805,556,355,225,83,25,1,2,7,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,0,383,1758,2345,2060,1158,665,337,48,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
