,year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Batanes,2020,17,184,390,665,804,865,869,836,779,736,598,619,417,324,245,138,107,97,58,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Bohol,2020,278,1886,2049,1562,1469,929,458,141,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,2020,121,746,1318,1831,1688,1112,609,469,323,229,144,78,42,21,14,14,9,7,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,2020,283,1648,2046,1414,1124,748,506,439,234,174,86,27,15,18,8,7,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,2020,47,1183,2511,2157,1533,720,399,184,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,2010,29,246,391,615,881,1003,1019,983,881,639,488,445,425,309,198,103,57,18,15,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Bohol,2010,365,2190,1755,1517,1672,906,244,76,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,2010,141,744,1409,1978,1817,990,722,476,240,121,48,35,29,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,2010,313,1685,2240,1561,999,827,521,315,174,68,43,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,2010,41,1299,2841,2418,1269,607,186,72,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,1990,5,186,421,661,732,792,920,1019,905,709,674,434,368,296,216,172,118,60,26,13,17,12,2,2,0,0,0,0,0,0,0,0,0,0
Bohol,1990,222,1557,1389,1327,1986,1414,550,183,63,30,17,2,2,3,3,2,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,1990,148,802,1156,1481,1544,1246,854,657,428,177,60,54,59,65,15,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,1990,213,1442,1826,1633,1346,979,652,342,157,61,38,32,13,12,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,1990,40,742,2025,2487,1742,1014,473,175,52,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,1980,16,111,248,485,638,938,1247,1159,907,681,593,508,369,319,248,159,91,30,11,7,6,6,3,3,1,0,0,0,0,0,0,0,0,0
Bohol,1980,272,1630,1881,1524,1449,1161,607,175,74,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,1980,111,717,1188,1633,1614,1135,773,615,376,253,177,95,38,11,9,5,6,6,7,3,0,3,2,4,2,1,0,0,0,0,0,0,0,0
Marinduque,1980,128,1409,1919,1503,1288,901,786,440,262,96,34,10,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,1980,45,1326,2529,2268,1487,686,290,115,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,2000,13,162,291,483,840,1032,1063,1020,737,625,597,563,531,316,174,167,86,37,11,12,7,1,2,6,3,1,4,0,0,0,0,0,0,0
Bohol,2000,359,1935,1856,1791,1495,783,286,133,76,49,10,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,2000,120,863,1439,1524,1459,1082,781,540,310,222,190,150,71,14,3,1,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,2000,245,1419,1779,1617,1343,840,546,314,271,238,121,38,5,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,2000,24,1076,2714,2475,1371,587,293,141,84,9,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
