,year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Batanes,2020,17,199,397,688,811,906,918,790,803,734,604,628,376,302,225,119,126,72,54,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bohol,2020,318,2030,2054,1566,1516,817,395,79,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,2020,129,803,1384,1895,1657,1054,585,466,305,217,118,80,25,19,14,13,8,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,2020,313,1773,2033,1425,1134,682,540,356,244,156,61,20,16,13,8,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,2020,52,1267,2566,2134,1510,689,387,145,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,2010,29,256,400,649,904,1039,1044,974,852,647,487,446,410,297,151,93,40,18,16,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bohol,2010,423,2270,1780,1570,1708,724,204,53,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,2010,155,795,1454,2077,1763,948,715,433,215,104,38,37,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,2010,345,1806,2276,1509,994,817,472,304,139,51,41,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,2010,46,1399,2909,2377,1224,560,157,66,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,1990,7,195,435,674,765,816,940,1043,890,717,664,419,345,283,208,161,102,35,25,9,18,7,2,0,0,0,0,0,0,0,0,0,0,0
Bohol,1990,255,1633,1402,1430,2072,1260,447,158,43,33,7,1,3,2,3,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,1990,163,830,1215,1539,1556,1247,819,629,378,134,61,48,76,45,12,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,1990,241,1519,1880,1673,1346,936,601,287,132,47,40,25,12,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,1990,42,791,2124,2495,1712,981,411,162,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,1980,16,114,263,494,683,986,1286,1155,872,691,570,514,357,295,219,162,59,13,11,9,6,3,3,3,0,0,0,0,0,0,0,0,0,0
Bohol,1980,307,1714,1935,1554,1487,1086,507,142,47,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,1980,125,747,1248,1687,1632,1109,730,602,349,233,166,81,18,13,7,5,6,7,7,0,2,3,4,2,1,0,0,0,0,0,0,0,0,0
Marinduque,1980,160,1494,1964,1503,1302,893,740,399,224,60,32,7,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,1980,52,1416,2566,2275,1446,644,260,97,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,2000,14,166,298,507,881,1069,1086,1020,718,613,611,570,491,292,172,134,80,17,16,8,5,1,7,2,1,4,1,0,0,0,0,0,0,0
Bohol,2000,416,2008,1928,1853,1427,685,226,118,74,33,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,2000,132,910,1482,1565,1463,1078,763,496,300,195,206,120,48,9,1,2,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,2000,280,1488,1833,1663,1305,802,496,329,247,214,106,10,3,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,2000,28,1173,2765,2478,1309,547,268,134,69,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
