,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Batanes,0,48,225,338,671,833,877,897,829,912,741,682,589,394,358,181,83,42,11,15,6,2,6,1,1,3,1,2,2,2,5,1,0,1,1
Bohol,6,879,1756,1661,1875,1379,759,246,141,42,3,3,2,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,7,305,868,1485,1625,1254,1007,753,584,445,194,147,49,17,8,2,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,5,864,1913,1683,1263,943,809,552,364,226,88,29,1,2,6,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,0,375,1751,2333,2065,1161,675,345,49,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
