,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Batanes,0,64,259,412,802,915,978,959,958,872,760,662,446,374,143,81,24,13,10,2,6,2,2,2,2,2,2,5,1,1,0,1,0,0,0
Bohol,11,1298,2002,2047,1891,1003,312,153,27,5,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,10,421,1071,1829,1655,1222,940,683,512,210,137,38,19,3,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,10,1222,2165,1707,1238,999,654,426,235,72,12,1,7,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,0,527,2077,2486,1954,1030,545,131,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
