,year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Batanes,2020,25,224,451,761,879,998,973,820,821,708,665,477,341,251,129,141,64,51,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bohol,2020,458,2445,2056,1712,1351,597,155,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,2020,167,967,1625,2043,1610,859,540,393,259,145,86,28,20,16,10,7,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,2020,417,2167,2020,1446,1018,623,518,262,186,65,17,20,11,7,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,2020,85,1545,2736,2154,1257,632,276,92,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,2010,36,278,461,744,1015,1108,1083,1039,778,571,488,464,343,174,100,36,23,14,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bohol,2010,640,2513,1902,1818,1438,331,86,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,2010,182,976,1699,2336,1505,913,607,294,132,50,41,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,2010,477,2164,2378,1365,1017,692,371,190,60,41,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,2010,76,1722,3083,2260,1060,405,107,40,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,1990,11,230,496,714,835,903,1095,1027,873,760,497,403,328,226,170,108,25,26,16,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Bohol,1990,386,1880,1508,1956,1927,772,215,55,36,5,2,3,4,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,1990,207,943,1397,1768,1553,1159,747,530,198,68,50,84,40,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,1990,345,1813,2035,1693,1321,811,417,168,59,45,23,14,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,1990,58,983,2438,2452,1634,807,285,87,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,1980,22,125,312,564,774,1203,1372,1080,826,658,573,421,337,243,172,59,11,12,7,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0
Bohol,1980,435,2031,2092,1690,1466,782,217,66,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,1980,164,845,1522,1833,1607,979,734,464,281,193,89,19,13,7,6,6,8,2,2,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,1980,260,1775,2084,1622,1143,951,540,286,78,34,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,1980,88,1681,2741,2234,1274,518,180,65,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,2000,16,198,338,621,993,1129,1179,947,681,669,626,583,329,196,146,76,14,18,8,1,8,2,1,5,0,0,0,0,0,0,0,0,0,0
Bohol,2000,598,2338,2072,1927,1189,373,153,83,36,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,2000,174,1075,1679,1690,1413,1044,668,364,242,230,133,49,7,0,4,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,2000,389,1769,1981,1740,1158,700,367,309,245,109,8,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,2000,42,1467,2988,2394,1067,465,227,97,27,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
