,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Batanes,0,49,228,339,685,829,879,902,834,914,745,680,587,387,357,169,80,39,9,14,6,2,6,1,2,3,0,3,2,1,5,1,1,0,1
Bohol,6,892,1772,1674,1900,1350,751,225,138,36,3,4,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,8,306,878,1509,1630,1260,997,753,576,435,186,142,44,16,8,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,5,887,1922,1684,1271,935,799,558,347,225,83,23,1,2,7,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,0,384,1760,2355,2054,1161,664,331,45,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
